a_jurisdiction,a_fiscal_year,census_01
Dare County,2021,36718
Davidson County,2021,168002
Davie County,2021,42543
Duck,2021,581
Dunn,2021,8616
Duplin County,2021,49836
Durham County,2021,320146
Eden,2021,15317
Edgecombe County,2021,49609
Elizabeth City,2021,18466
Fair Bluff,2021,406
Farmville,2021,4475
Fayetteville,2021,208497
Forest City,2021,7330
Four Oaks,2021,4265
Franklin County,2021,67598
Fuquay-Varina,2021,33135
Garner,2021,30859
Gaston County,2021,226097
Gastonia,2021,79483
Gates County,2021,10584
Goldsboro,2021,33214
Graham,2021,16793
Graham County,2021,8089
Granville County,2021,60854
Greene County,2021,20524
Greensboro,2021,295483
Greenville,2021,87815
Guilford County,2021,537113
Halifax County,2021,49291
Harnett County,2021,133074
Havelock,2021,17570
Haywood County,2021,61695
Henderson County,2021,115613
Hertford County,2021,22010
High Point,2021,113148
Hoke County,2021,52169
Holden Beach,2021,952
Holly Ridge,2021,3888
Holly Springs,2021,40198
Hope Mills,2021,17421
Hyde County,2021,4697
Iredell County,2021,183965
Jackson County,2021,42983
Jacksonville,2021,73224
Johnston County,2021,211320
Jones County,2021,9326
Kernersville,2021,838
Kill Devil Hills,2021,7541
King,2021,7258
Kings Mountain,2021,10775
Kitty Hawk,2021,3664
La Grange,2021,2641
Lee County,2021,62676
Leland,2021,22794
Lenoir County,2021,55344
Lexington,2021,19347
Lillington,2021,4389
Lincoln County,2021,85670
Lumberton,2021,19186
Macon County,2021,36532
Madison,2021,2244
Madison County,2021,21269
Manteo,2021,1769
Marion,2021,7703
Martin County,2021,22213
Maysville,2021,1002
McDowell County,2021,44527
Mebane,2021,17192
Mecklenburg County,2021,1100984
Mitchell County,2021,14951
Monroe,2021,34464
Montgomery County,2021,25891
Montreat,2021,343
Moore County,2021,98618
Mooresville,2021,48431
Morehead City,2021,9535
Morganton,2021,17389
Morrisville,2021,28824
Mount Olive,2021,4155
Nash County,2021,94628
New Bern,2021,31058
New Hanover County,2021,225175
Newport,2021,4356
North Topsail Beach,2021,789
North Wilkesboro,2021,4247
Northampton County,2021,17917
Oak Island,2021,8252
Ocean Isle Beach,2021,768
Onslow County,2021,201597
Orange County,2021,147376
Pamlico County,2021,12293
Pasquotank County,2021,40240
Pender County,2021,59964
Perquimans County,2021,13002
Person County,2021,38999
Pine Knoll Shores,2021,1288
Pinebluff,2021,1693
Pinehurst,2021,17250
Pitt County,2021,170600
Polk County,2021,19413
Princeton,2021,1472
Raeford,2021,4743
Raleigh,2021,462219
Randolph County,2021,143735
Reidsville,2021,14463
Richmond County,2021,43301
Roanoke Rapids,2021,15294
Robeson County,2021,118836
Rockingham,2021,9200
Rockingham County,2021,90903
Rocky Mount,2021,54375
Rowan County,2021,145784
Rutherford County,2021,64592
Saint Helena,2021,380
Sampson County,2021,59468
Scotland County,2021,34345
Scotland Neck,2021,2033
Shelby,2021,21564
Siler City,2021,7742
Southern Pines,2021,15156
Southern Shores,2021,3069
Southport,2021,3842
Spring Lake,2021,11629
Stanly County,2021,62148
Stokes County,2021,44588
Sunset Beach,2021,4091
Surf City,2021,3637
Surry County,2021,71439
Swain County,2021,14166
Swansboro,2021,3605
Tabor City,2021,3736
Tarboro,2021,10733
Thomasville,2021,26941
Topsail Beach,2021,413
Transylvania County,2021,32979
Union County,2021,235699
Vance County,2021,42650
Wake County,2021,1112883
Wake Forest,2021,46387
Walnut Cove,2021,2419
Warren County,2021,18889
Washington,2021,9754
Washington County,2021,11183
Watauga County,2021,54077
Watha,2021,244
Waxhaw,2021,19645
Wayne County,2021,117692
Whiteville,2021,4826
Wilkes County,2021,66335
Wilson,2021,47914
Wilson County,2021,78844
Winston-Salem,2021,247917
Winterville,2021,10336
Yadkin County,2021,37198
Yancey County,2021,18357
Aberdeen,2022,8674
Alamance,2022,1287
Alamance County,2022,171779
Alexander County,2022,36505
Alleghany County,2022,10989
Anson County,2022,22200
Apex,2022,65541
Ashe County,2022,26759
Asheboro,2022,27117
Asheville,2022,93695
Avery County,2022,17679
Bald Head Island,2022,138
Beaufort,2022,4534
Beaufort County,2022,44711
Beech Mountain,2022,798
Benson,2022,4004
Bertie County,2022,17818
Black Mountain,2022,8430
Bladen County,2022,29807
Blowing Rock,2022,900
Boiling Spring Lakes,2022,4622
Boone,2022,19368
Brunswick County,2022,139721
Buncombe County,2022,269449
Burgaw,2022,3207
Burke County,2022,87799
Burlington,2022,56951
Burnsville,2022,2380
Cabarrus County,2022,226396
Calabash,2022,2570
Caldwell County,2022,80716
Camden County,2022,10547
Carolina Beach,2022,6583
Carolina Shores,2022,4643
Carrboro,2022,21242
Carteret County,2022,68353
Cary,2022,174880
Caswell Beach,2022,489
Caswell County,2022,22747
Catawba County,2022,161011
Cerro Gordo,2022,352
Chapel Hill,2022,58919
Chatham County,2022,76754
Cherokee County,2022,28868
Chowan County,2022,13835
Clarkton,2022,822
Clay County,2022,11186
Clayton,2022,26837
Cleveland County,2022,99527
Columbus County,2022,50827
Craven County,2022,101098
Cumberland County,2022,335207
Currituck County,2022,28616
Dare County,2022,37160
Davidson County,2022,169498
Davie County,2022,43030
Duck,2022,686
Dunn,2022,8549
Duplin County,2022,49312
Durham County,2022,325101
Eden,2022,15349
Edgecombe County,2022,49067
Elizabeth City,2022,18570
Fair Bluff,2022,437
Farmville,2022,4474
Fayetteville,2022,208697
Forest City,2022,7357
Four Oaks,2022,4144
Franklin County,2022,69680
Fuquay-Varina,2022,35428
Garner,2022,31684
Gaston County,2022,228972
Gastonia,2022,80615
Gates County,2022,10509
Goldsboro,2022,33566
Graham,2022,17136
Graham County,2022,8047
Granville County,2022,61161
Greene County,2022,20407
Greensboro,2022,297202
Greenville,2022,87894
Guilford County,2022,539557
Halifax County,2022,48772
Harnett County,2022,134718
Havelock,2022,16759
Haywood County,2022,62152
Henderson County,2022,116469
Hertford County,2022,21633
High Point,2022,114120
Hoke County,2022,52612
Holden Beach,2022,997
Holly Ridge,2022,4236
Holly Springs,2022,42023
Hope Mills,2022,17671
Hyde County,2022,4636
Iredell County,2022,187839
Jackson County,2022,42388
Jacksonville,2022,71908
Johnston County,2022,219042
Jones County,2022,9263
Kernersville,2022,929
Kill Devil Hills,2022,7658
King,2022,7210
Kings Mountain,2022,11246
Kitty Hawk,2022,3690
La Grange,2022,2640
Lee County,2022,63560
Leland,2022,24473
Lenoir County,2022,55071
Lexington,2022,19595
Lillington,2022,4566
Lincoln County,2022,87933
Lumberton,2022,19099
Macon County,2022,37088
Madison,2022,2185
Madison County,2022,21414
Manteo,2022,1808
Marion,2022,7652
Martin County,2022,21992
Maysville,2022,893
McDowell County,2022,44629
Mebane,2022,17899
Mecklenburg County,2022,1115403
Mitchell County,2022,14989
Monroe,2022,34897
Montgomery County,2022,25839
Montreat,2022,442
Moore County,2022,100759
Mooresville,2022,50025
Morehead City,2022,9632
Morganton,2022,17457
Morrisville,2022,29756
Mount Olive,2022,4286
Nash County,2022,95015
New Bern,2022,31373
New Hanover County,2022,228134
Newport,2022,4407
North Topsail Beach,2022,775
North Wilkesboro,2022,4349
Northampton County,2022,17528
Oak Island,2022,8564
Ocean Isle Beach,2022,809
Onslow County,2022,203686
Orange County,2022,145919
Pamlico County,2022,12317
Pasquotank County,2022,40454
Pender County,2022,61592
Perquimans County,2022,13053
Person County,2022,39131
Pine Knoll Shores,2022,1363
Pinebluff,2022,1767
Pinehurst,2022,17653
Pitt County,2022,171196
Polk County,2022,19538
Princeton,2022,1471
Raeford,2022,4570
Raleigh,2022,465517
Randolph County,2022,144403
Reidsville,2022,14526
Richmond County,2022,43149
Roanoke Rapids,2022,15143
Robeson County,2022,117573
Rockingham,2022,9174
Rockingham County,2022,91209
Rocky Mount,2022,54260
Rowan County,2022,147067
Rutherford County,2022,64680
Saint Helena,2022,465
Sampson County,2022,59317
Scotland County,2022,34222
Scotland Neck,2022,1861
Shelby,2022,21712
Siler City,2022,7847
Southern Pines,2022,15701
Southern Shores,2022,3098
Southport,2022,4015
Spring Lake,2022,11710
Stanly County,2022,62723
Stokes County,2022,44696
Sunset Beach,2022,4189
Surf City,2022,3888
Surry County,2022,71429
Swain County,2022,14130
Swansboro,2022,3759
